CertNumber,SpecID,SpecNumber,LabelType,ReverseBarCode,Year,Brand,Category,CardNumber,Subject,Variety,IsPSADNA,IsDualCert,GradeDescription,CardGrade,AutographGrade,PrimarySigners,TotalPopulation,TotalPopulationWithQualifier,PopulationHigher
83350271,9541459,CNU4002744,LighthouseLabel,True,2023,BOWMAN CHROME PROSPECT AUTOGRAPHS,BASEBALL CARDS,CPAZG,ZACK GELOF,PROSPECT AUTO-SPECKLE,False,False,GEM MT 10,N/A,N/A,N/A,17,0,0
70746958,6761415,ANI0000384,LighthouseLabel,True,2022,BOWMAN CHROME PROSPECT AUTOGRAPHS,BASEBALL CARDS,CPADP,DAMIANO PALMEGIANI,CHR.PROS.AUTO-BLUE REF.,False,False,MINT 9,N/A,N/A,N/A,8,0,8
75444419,7976268,BUM4000562,LighthouseLabel,True,2022,BOWMAN DRAFT CHROME DRAFT PICK AUTOGRAPHS,BASEBALL CARDS,CDAJK,JOSH KASEVICH,CHR.DP AUTO-BLUE REF.,True,True,GEM MT 10,GEM MT 10,GEM MT 10,['JOSH KASEVICH'],2,0,0
75816228,8598683,CNU4000379,LighthouseLabel,True,2023,BOWMAN CHROME PROSPECT AUTOGRAPHS,BASEBALL CARDS,CPAMM,MATT MERVIS,CHR PROSPECT AUTO-PURPLE,False,False,GEM MT 10,N/A,N/A,N/A,35,0,0
75310056,6761046,ANI0000249,LighthouseLabel,True,2022,BOWMAN CHROME PROSPECT AUTOGRAPHS,BASEBALL CARDS,CPARB,RYAN BLISS,CHR.PROS.AUTO-SPECKLE REF.,False,False,GEM MT 10,N/A,N/A,N/A,15,0,0
75468030,7976332,BUM4000626,LighthouseLabel,True,2022,BOWMAN DRAFT CHROME DRAFT PICK AUTOGRAPHS,BASEBALL CARDS,CDACDY,CADE DOUGHTY,CH.DP AU-BLUE WV.REF.,True,True,GEM MT 10,GEM MT 10,Authentic,['CADE DOUGHTY'],5,0,0
45662224,2853860,XD75000045,LighthouseLabel,True,2019,BOWMAN CHROME PROSPECTS AUTOGRAPHS,BASEBALL CARDS,CPAOM,ORELVIS MARTINEZ,PROSPECTS AUTOGRAPHS,False,False,GEM MT 10,N/A,N/A,N/A,135,0,0
76126796,8599199,CNU4000668,LighthouseLabel,True,2023,BOWMAN CHROME PROSPECT AUTOGRAPHS,BASEBALL CARDS,CPAJJ,JACE JUNG,CHROME PROS AUTO-ATOMIC,False,False,GEM MT 10,N/A,N/A,N/A,7,0,0
79720519,3005288,XR68001252,LighthouseLabel,True,2019,BOWMAN DRAFT,BASEBALL CARDS,BD22,GUNNAR HENDERSON,GOLD,False,False,MINT 9,N/A,N/A,N/A,11,0,2
79720517,8857382,CVU0000040,LighthouseLabel,True,2023,TOPPS HERITAGE REAL ONE AUTOGRAPHS,BASEBALL CARDS,ROAGH,GUNNAR HENDERSON,REAL ONE AUTOGRAPHS,False,False,GEM MT 10,N/A,N/A,N/A,27,0,0
74574401,7976403,BUM4000697,LighthouseLabel,True,2022,BOWMAN DRAFT CHROME DRAFT PICK AUTOGRAPHS,BASEBALL CARDS,CDAST,STERLIN THOMPSON,CH.DP AU-BLUE WV.REF.,True,True,GEM MT 10,GEM MT 10,GEM MT 10,['STERLIN THOMPSON'],3,0,0
64007482,3689303,YK53001020,LighthouseLabel,True,2020,BOWMAN CHROME PROSPECT AUTOGRAPHS,BASEBALL CARDS,CPAGM,GABRIEL MORENO,PROSPECT AUTOGRAPHS,False,False,GEM MT 10,N/A,N/A,N/A,179,0,0
79720516,8914045,CGC6000768,LighthouseLabel,True,2023,TOPPS BASEBALL STARS AUTOGRAPHS,BASEBALL CARDS,BSAGHE,GUNNAR HENDERSON,BASEBALL STARS AUTO-RED,False,False,NM-MT 8,N/A,N/A,N/A,1,0,0
79720522,7728892,BOD9000078,LighthouseLabel,True,2022,TOPPS UPDATE BLACK GOLD,BASEBALL CARDS,BG1,SHOHEI OHTANI,BLACK GOLD-GOLD,False,False,NM-MT 8,N/A,N/A,N/A,6,0,4
79720515,8906033,CGC3000718,LighthouseLabel,True,2023,TOPPS 1988 TOPPS BASEBALL AUTOGRAPHS,BASEBALL CARDS,88BAGH,GUNNAR HENDERSON,1988 TOPPS AUTOGRAPH-BLACK,False,False,NM 7,N/A,N/A,N/A,2,0,4
